Movie_Title,Genre,Director,Release_Year,Budget,Box_Office,Runtime,IMDB_Rating,Language,Production_Company,Release_Month,Critic_Reviews,Audience_Reviews,Hit_Or_Flop,Tomatometer
Despite difference.,Thriller,Tasha Reyes,2001,238.921,350.862,92.0,9.07,Mandarin,Disney,Jul,1.8,6.5,Hit,5
Car success.,Romance,Dustin Mosley,1999,95.167,52.462,148.0,2.11,English,Warner Bros,Oct,2.6,8.9,Flop,60
Audience Congress personal.,Comedy,Michelle Wagner,2014,230.649,106.65,178.0,3.01,French,Sony Pictures,Sep,7.9,1.2,Flop,81
Remember executive up hotel rate.,Sci-Fi,Danielle Potter,2011,53.146,4195.45,128.0,5.69,French,Paramount,Dec,5.4,8.6,Hit,78
South team these war customer.,Thriller,Melissa Smith,1997,211.285,3629.32,151.0,7.66,German,Warner Bros,Feb,6.3,5.9,Hit,72
Employee boy door week.,Thriller,Heidi Ritter,2020,103.461,2867.3599999999997,,4.25,German,Paramount,Feb,9.5,1.4,Hit,73
Billion song crime.,Drama,Stephanie Alvarez,2002,278.18,416.665,152.0,7.93,Japanese,Warner Bros,Oct,7.4,4.9,Hit,21
Yes against service draw particular.,Thriller,Tammy Gonzalez,2020,116.839,12.107,125.0,3.99,Hindi,Sony Pictures,Sep,1.8,8.3,Flop,25
Their ok tax a respond.,Comedy,Randy Lewis,1999,104.048,5.894,101.0,8.01,Hindi,Disney,Jan,6.6,8.0,Flop,40
Hard rate tough hour you.,Sci-Fi,Randy Lewis,2003,196.571,3286.1200000000003,158.0,7.82,French,Sony Pictures,Mar,9.3,7.3,Hit,78
Nothing rather him act.,Comedy,Tammy Gonzalez,2002,146.833,3376.2599999999998,,8.11,Hindi,Universal Pictures,Dec,9.2,,Hit,55
Effort if choose watch.,Thriller,Tammy Gonzalez,2016,113.533,744.05,90.0,4.73,Japanese,Lionsgate,Aug,3.7,1.8,Flop,84
Key issue research.,Horror,Ashley Williams,2013,,4287.86,138.0,3.08,Spanish,Lionsgate,Aug,3.6,2.1,Hit,50
Physical I trial well.,Comedy,Paul Watson,2014,73.978,440.353,93.0,7.65,Spanish,New Line Cinema,Apr,4.3,0.3,Hit,78
Hair way result eat people.,Comedy,Danielle Potter,1994,279.725,245.822,118.0,7.39,Spanish,Paramount,Nov,6.6,3.6,Flop,89
Discuss bank peace.,Drama,Carol Diaz,2016,95.56,339.621,,3.78,French,Universal Pictures,Feb,9.8,2.6,Hit,73
Company floor culture share.,Romance,Caleb Barnes,2020,90.372,315.881,142.0,7.04,German,Sony Pictures,Mar,6.4,3.3,Hit,53
Long hard staff door throw.,Comedy,Kimberly Jimenez,2013,295.59,85.553,112.0,7.85,German,Universal Pictures,Apr,6.0,6.9,Flop,92
Her rest.,Comedy,Carol Diaz,2024,290.165,31.135,154.0,6.36,French,Sony Pictures,Nov,4.1,1.4,Flop,78
Resource fight.,Sci-Fi,Randall Howe,2009,17.783,371.519,123.0,9.84,Mandarin,Disney,Aug,3.7,1.0,Hit,5
Any style adult exactly picture.,Comedy,Tammy Gonzalez,1993,297.923,1048.42,110.0,6.92,Mandarin,Warner Bros,May,8.1,2.1,Flop,5
Ready hand paper.,Romance,George Williams,2001,67.144,41.268,104.0,4.09,Hindi,Disney,Sep,8.7,2.6,Flop,65
Admit bad.,Thriller,Michael Miller,2017,11.159,247.52,,2.9,Mandarin,Disney,Mar,6.9,0.9,Hit,27
Leave cut.,Action,Debbie Howe,2001,161.313,484.589,118.0,6.67,Mandarin,New Line Cinema,Sep,0.3,4.9,Hit,63
Near why.,Horror,Tasha Reyes,2004,164.618,31.237,,4.21,Mandarin,Paramount,Mar,1.9,1.3,Flop,23
We major clearly.,Thriller,Randall Howe,2012,49.226,142.109,152.0,1.5,German,Paramount,Oct,1.2,0.8,Hit,63
Suggest beyond president.,Thriller,Dana Bryant,2008,36.7,395.942,109.0,7.1,German,Fox,Jun,5.0,9.7,Hit,56
Career identify on answer.,Comedy,Elizabeth Davis,2008,184.222,290.274,122.0,4.27,French,Universal Pictures,Oct,7.6,2.8,Hit,93
Agreement state.,Comedy,Dana Bryant,2003,116.658,479.911,149.0,4.58,Spanish,Disney,Jan,7.2,8.0,Hit,100
Perform family.,Thriller,Danielle Potter,1999,65.675,203.906,,4.64,Mandarin,Sony Pictures,Aug,6.7,3.5,Hit,42
Information plant.,Comedy,Danielle Potter,2024,251.439,344.472,178.0,8.05,Hindi,Lionsgate,Nov,2.0,9.5,Hit,51
Respond physical thank wear safe.,Drama,Kathleen Adkins,1992,248.572,4433.04,179.0,8.06,French,New Line Cinema,Jan,7.3,4.6,Hit,40
Action right available write.,Sci-Fi,Nicholas Bates,2003,169.878,312.949,132.0,3.69,English,Disney,Jun,2.5,5.9,Hit,53
Throughout know soldier seem carry.,Romance,Dr. Brianna Wilson DDS,2006,275.521,557.5,85.0,9.35,French,New Line Cinema,Aug,8.4,6.9,Flop,71
Air nation onto.,Horror,Kayla Mcconnell,2003,111.278,238.112,92.0,1.11,French,Universal Pictures,Jan,7.2,9.2,Hit,61
Effort group win.,Comedy,Tammy Gonzalez,2012,211.576,1406.34,125.0,9.82,Mandarin,New Line Cinema,May,2.9,8.4,Flop,53
News deal market especially.,Sci-Fi,Maria Gilbert,2004,92.956,373.273,153.0,2.54,Hindi,New Line Cinema,Jun,6.0,3.6,Hit,4
Perform support up some.,Comedy,Joseph Moore,2004,,54.409,166.0,9.95,French,Lionsgate,Dec,8.3,6.0,Hit,49
Lay spend send.,Sci-Fi,Caleb Barnes,2009,271.073,150.642,126.0,5.39,English,Warner Bros,Jan,7.1,4.3,Flop,3
Tax claim.,Drama,Jimmy Sosa,2007,66.809,447.867,172.0,4.07,Hindi,Warner Bros,May,2.0,7.7,Hit,90
Require guy usually.,Thriller,Stephanie Alvarez,2016,287.756,440.851,82.0,1.08,Spanish,Fox,Aug,6.9,,Hit,98
Never Democrat back physical.,Comedy,Michelle Wagner,1993,213.013,2405.8199999999997,116.0,3.38,French,Disney,Aug,8.4,2.3,Hit,41
Ask show cause.,Drama,Kevin Sims,2009,252.964,422.967,162.0,6.03,Japanese,New Line Cinema,Mar,8.6,7.3,Hit,61
Why try table any.,Sci-Fi,Randy Lewis,2000,,388.583,173.0,5.67,French,Disney,Dec,1.6,2.1,Hit,60
Current almost claim bring program.,Comedy,Elizabeth Davis,2015,100.837,64.247,177.0,5.6,English,Warner Bros,Feb,4.6,9.8,Flop,56
Which improve trouble artist.,Sci-Fi,Tammy Gonzalez,1997,81.175,39.519999999999996,121.0,6.33,French,Sony Pictures,Jul,8.2,4.3,Flop,85
Impact politics especially light.,Thriller,Elizabeth Mann,2018,231.978,2004.7399999999998,164.0,9.53,German,Sony Pictures,May,9.3,8.0,Flop,81
Represent southern.,Action,Dustin Mosley,2018,60.419,260.647,164.0,6.95,German,Warner Bros,Apr,4.3,1.6,Hit,52
Action guess guy.,Action,Donna Richards,2011,123.888,371.986,156.0,3.26,French,Sony Pictures,Dec,8.5,3.7,Hit,3
Son ahead wait cold.,Sci-Fi,Elizabeth Mann,2012,,49.494,91.0,4.97,German,Warner Bros,Apr,0.1,,Flop,94
Trip attorney design movie tax.,Horror,Debbie Howe,2009,231.779,31.128,,1.25,Hindi,Lionsgate,Sep,1.6,0.4,Flop,12
Cold partner hand.,Horror,Ruben Lynch,2024,289.46,2921.3900000000003,118.0,8.22,German,Paramount,Jul,9.4,2.1,Hit,66
Teacher natural list election less.,Drama,Christine Gonzalez,2019,49.301,98.353,131.0,9.78,German,Warner Bros,May,4.5,4.9,Hit,17
Defense west get future.,Action,Debbie Howe,2011,257.187,26.432,121.0,6.01,English,New Line Cinema,Apr,5.5,2.0,Flop,71
Admit yourself onto.,Thriller,Andrew Krause,1998,81.884,346.2,84.0,6.87,Japanese,Disney,Jan,1.5,6.6,Hit,79
Truth eat.,Drama,Randy Lewis,1994,214.437,347.655,112.0,2.58,German,Lionsgate,Jan,5.4,3.8,Hit,94
Great hair radio development whom.,Comedy,William Price,2008,,291.88,155.0,9.5,English,Fox,Jun,5.4,3.0,Flop,44
Pressure soldier wall week successful.,Action,George Williams,2010,275.738,194.017,,8.78,Spanish,Universal Pictures,Jun,1.1,9.7,Flop,49
Run garden.,Action,Marcus Chen,2008,103.769,35.144,94.0,1.69,Hindi,Paramount,Oct,2.8,5.4,Flop,92
Ball hard.,Thriller,Dustin Mosley,2008,161.544,316.879,153.0,6.94,German,Lionsgate,Apr,7.9,6.1,Hit,45
Study explain watch concern.,Drama,Alicia Lawrence,1991,,472.151,155.0,7.0,French,Fox,Dec,2.8,7.1,Hit,85
Benefit role the both year.,Sci-Fi,Elizabeth Mann,1991,211.03,197.73,,4.66,Hindi,Lionsgate,Mar,0.6,8.3,Flop,5
Lot sea serve offer.,Action,Mrs. Katie Boone DDS,2021,90.005,52.409,108.0,7.17,Mandarin,New Line Cinema,Aug,3.1,5.2,Flop,34
Star edge data.,Thriller,Carol Diaz,2015,244.907,240.593,124.0,7.18,French,Sony Pictures,May,9.5,3.0,Flop,60
Hope practice young accept many.,Romance,Joanne Harris,2016,,52.144,,9.53,French,Paramount,Jan,0.1,4.1,Flop,38
Fire drive billion industry.,Horror,Elizabeth Mann,2001,183.54,266.238,149.0,4.13,English,Lionsgate,Apr,7.1,1.2,Hit,52
Give chance head.,Action,Joseph Swanson,2024,235.178,3861.17,130.0,6.45,Spanish,Lionsgate,Aug,1.4,8.1,Hit,8
Seem two happen can off.,Romance,Kayla Mcconnell,2002,160.072,46.811,,5.27,Spanish,Paramount,Nov,8.3,9.8,Flop,80
Single unit.,Comedy,Emily Lewis DDS,1994,28.198,445.445,166.0,3.14,Spanish,Disney,Sep,4.3,6.4,Hit,7
Push pay certainly place their.,Romance,Jimmy Sosa,2006,92.715,2837.83,,4.64,English,Universal Pictures,Aug,6.9,9.8,Hit,21
Third six say.,Action,Paul Watson,2002,117.289,215.295,102.0,5.73,Japanese,Paramount,Jun,0.1,3.4,Hit,71
Production force.,Drama,Hayden Tyler,2024,10.899,66.698,102.0,7.2,French,Warner Bros,May,5.2,7.2,Hit,78
Over kitchen note rock might.,Drama,Nicholas Bates,2023,151.798,298.742,140.0,5.23,French,New Line Cinema,Aug,6.8,1.7,Hit,72
Daughter gas.,Comedy,Donna Richards,2018,275.173,146.905,118.0,1.8,Spanish,Fox,Apr,0.0,9.7,Flop,2
Yourself big.,Comedy,Andrew Krause,2010,221.557,362.002,168.0,3.81,Mandarin,Disney,Sep,3.0,1.4,Hit,59
Hand cup impact.,Comedy,Dr. Brianna Wilson DDS,1994,149.854,266.181,150.0,3.29,English,Fox,Apr,8.7,7.7,Hit,21
Western paper choice.,Drama,Mrs. Katie Boone DDS,2013,219.885,469.275,172.0,1.34,German,New Line Cinema,Nov,3.8,7.5,Hit,67
Great oil consider.,Action,Kevin Sims,2013,293.64,3019.3,173.0,2.46,English,Lionsgate,Aug,3.4,4.7,Hit,29
Seek walk possible life.,Horror,Paul Watson,2008,177.842,211.285,143.0,6.95,Japanese,Fox,Mar,8.1,3.8,Hit,16
Prove together.,Sci-Fi,William Price,1997,169.954,22.372,173.0,1.98,Japanese,New Line Cinema,May,8.5,7.0,Flop,68
Their maintain drive field.,Horror,Melissa Smith,1999,175.42,456.79,171.0,4.78,Japanese,Sony Pictures,May,0.4,2.3,Flop,1
Will dinner.,Thriller,Maria Gilbert,2024,78.948,104.578,104.0,4.8,Japanese,New Line Cinema,Jul,8.8,3.2,Hit,4
Real assume station.,Horror,Joseph Moore,2009,124.292,17.952,90.0,9.82,Hindi,Disney,Jul,5.7,5.9,Flop,20
Month action condition theory.,Action,William Price,2022,179.301,224.982,98.0,8.15,Mandarin,Paramount,Apr,9.5,9.9,Hit,50
Order message bill everybody.,Thriller,Mrs. Katie Boone DDS,2005,89.748,343.595,180.0,5.22,Mandarin,Sony Pictures,Oct,1.7,9.5,Hit,46
Popular offer customer.,Sci-Fi,Mrs. Katie Boone DDS,2016,123.875,286.917,161.0,2.79,Hindi,Lionsgate,Oct,3.8,7.1,Hit,17
Debate today.,Drama,Caleb Barnes,2007,42.431,132.093,97.0,9.74,Mandarin,Fox,Nov,6.3,8.7,Hit,65
Plant decade attention.,Romance,John Barnett,2016,159.133,45.907,118.0,2.03,English,Disney,Nov,4.9,3.2,Flop,9
Western president.,Comedy,Danielle Potter,1992,,231.275,156.0,2.86,Spanish,Lionsgate,Apr,7.7,5.3,Hit,51
Maybe inside environment skill stand.,Romance,Tasha Reyes,2007,144.305,128.639,96.0,6.36,French,Universal Pictures,Jun,7.4,3.1,Flop,20
Still nice age.,Sci-Fi,Carol Diaz,2008,30.706,197.842,102.0,7.96,German,Fox,Apr,1.9,,Hit,26
Defense full.,Horror,Jimmy Sosa,1999,70.986,459.551,85.0,1.74,English,Lionsgate,Jan,9.3,0.1,Hit,73
Month capital director eat.,Comedy,Kevin Sims,2021,18.557,2894.8700000000003,168.0,8.35,French,Universal Pictures,Apr,0.0,0.8,Hit,50
Attention in line clearly.,Drama,Heidi Ritter,1990,32.087,135.812,162.0,4.2,French,Disney,Feb,5.1,2.3,Hit,81
Authority behavior loss.,Romance,Dustin Mosley,1995,220.847,185.007,143.0,2.84,German,Warner Bros,Feb,9.7,0.1,Flop,33
Will number necessary.,Thriller,Ashley Williams,1997,170.712,26.768,179.0,8.52,Hindi,Sony Pictures,Apr,9.0,5.3,Flop,99
Bill want brother attorney stuff.,Drama,Heidi Ritter,2012,23.213,357.411,123.0,3.95,French,Universal Pictures,Aug,7.2,7.9,Hit,40
Detail hit better.,Drama,Randy Lewis,2023,97.211,359.387,135.0,5.91,French,Universal Pictures,Oct,4.9,7.2,Hit,85
Travel case market.,Romance,Melissa Smith,2021,,4797.320000000001,82.0,5.29,German,Fox,Mar,3.6,6.6,Hit,54
Any return recent officer really.,Comedy,Michelle Wagner,2024,26.995,218.041,143.0,6.04,English,Universal Pictures,Feb,4.0,0.2,Hit,39
Present way expect science.,Comedy,Andrew Krause,2013,,3820.8199999999997,134.0,3.1,French,New Line Cinema,May,1.7,6.1,Hit,0
Feel security sister government.,Action,Sean Sullivan,2003,137.046,84.879,106.0,3.46,French,New Line Cinema,Dec,2.5,3.4,Flop,11
Best skill.,Drama,Christine Gonzalez,2017,194.506,254.367,168.0,5.37,French,Disney,Mar,4.2,4.0,Hit,51
Impact why.,Drama,Maria Gilbert,2012,106.057,459.249,131.0,3.16,Hindi,Warner Bros,Jul,2.4,5.3,Hit,100
Hundred low.,Action,Randy Lewis,2019,234.294,341.014,124.0,1.7,German,Universal Pictures,Dec,4.2,9.0,Hit,79
Song rather bring raise.,Thriller,Michael Miller,2020,204.301,260.392,,6.8,Mandarin,Warner Bros,Nov,3.6,8.0,Hit,30
Their medical surface suddenly treat.,Romance,Joseph Moore,1992,,3341.45,171.0,8.14,French,Universal Pictures,Jul,5.5,7.8,Hit,20
Pressure better.,Romance,Joseph Swanson,2000,247.474,94.821,105.0,7.63,French,Lionsgate,Aug,5.6,8.3,Flop,84
Ok long discover.,Horror,Debbie Howe,2022,287.051,2043.3799999999999,171.0,2.39,Mandarin,Fox,Feb,7.9,0.4,Flop,60
Physical deep.,Drama,Carmen Jackson,2019,98.997,103.625,,7.14,Hindi,Sony Pictures,Mar,2.3,6.6,Hit,73
Your artist order employee develop.,Comedy,Ruben Lynch,2011,231.012,376.917,117.0,3.8,Hindi,Paramount,Nov,4.2,1.8,Hit,25
Oil get firm they.,Drama,Dr. Brianna Wilson DDS,2000,227.665,396.486,154.0,4.12,Spanish,Disney,Nov,5.2,8.3,Hit,49
Process between.,Romance,Elizabeth Mann,1998,250.987,50.61,153.0,3.47,Mandarin,Fox,Jul,9.5,2.3,Flop,91
Night certain.,Comedy,Randall Howe,1995,,457.195,116.0,2.38,English,Universal Pictures,Jun,3.9,0.8,Hit,93
High and authority.,Romance,Marcus Chen,1991,244.937,65.625,156.0,5.91,French,Fox,Jul,7.3,3.9,Flop,34
Appear yard different guy gas.,Romance,Donna Richards,2022,31.265,27.256,,4.42,French,Lionsgate,Feb,4.2,4.0,Flop,29
Should too total.,Romance,Dana Bryant,1992,213.493,111.64,166.0,4.1,French,Disney,Nov,8.5,4.0,Flop,94
Build guess month apply.,Horror,Dustin Mosley,2014,288.664,181.357,100.0,6.6,Mandarin,Lionsgate,Apr,1.0,0.1,Flop,65
None personal establish.,Drama,Maria Gilbert,1999,212.292,193.214,80.0,5.69,German,Disney,Oct,0.2,3.1,Flop,27
Big appear.,Romance,Tasha Reyes,2017,275.132,4783.11,93.0,6.87,Mandarin,Universal Pictures,Jan,5.6,,Hit,94
Because wish defense fine.,Drama,George Williams,1992,143.721,182.097,138.0,9.74,English,New Line Cinema,Apr,5.4,5.6,Hit,42
Imagine authority.,Action,Danielle Potter,2003,64.77,354.645,179.0,4.82,German,Warner Bros,Oct,3.1,,Hit,72
For plant mean wide.,Thriller,Mrs. Katie Boone DDS,1994,78.876,247.438,170.0,8.87,French,Sony Pictures,Feb,5.0,2.5,Hit,1
Figure seven.,Drama,Tammy Gonzalez,1999,81.245,68.862,111.0,7.44,Mandarin,Lionsgate,May,9.1,7.8,Flop,92
Page street.,Horror,Michael Miller,2005,31.874,114.714,160.0,7.77,French,Warner Bros,May,6.6,3.4,Hit,99
Beautiful lot model exactly sound.,Drama,Jimmy Sosa,1992,120.746,48.686,,4.57,Japanese,New Line Cinema,Jan,2.4,7.1,Flop,96
Less growth.,Horror,Randall Wilson,2009,168.724,257.163,167.0,5.92,Hindi,Lionsgate,Jul,8.5,5.4,Hit,35
Us population be discuss.,Horror,Ruben Lynch,2002,100.462,37.389,156.0,3.25,Mandarin,Fox,Aug,3.5,1.5,Flop,12
Sell anything four himself.,Comedy,Dana Bryant,2019,25.575,85.964,163.0,4.73,German,Lionsgate,May,8.4,5.9,Hit,12
Onto between positive lot image.,Romance,Michelle Wagner,2002,232.408,348.22,143.0,4.58,English,Disney,May,9.4,1.9,Hit,39
Reveal finally often sometimes green.,Romance,Randall Wilson,2013,184.361,238.926,137.0,7.98,French,Universal Pictures,Oct,2.5,8.8,Hit,61
Work among trade management.,Comedy,Kathleen Adkins,2010,,289.751,175.0,9.89,Japanese,New Line Cinema,Jan,8.2,8.1,Hit,69
Attack probably feel.,Thriller,Danielle Potter,2019,79.815,479.543,172.0,8.72,French,Disney,Aug,5.4,3.7,Hit,3
Choose sing see quite.,Drama,Donna Richards,2013,117.73,2816.9799999999996,120.0,9.99,German,Warner Bros,Oct,5.5,3.4,Hit,52
Approach by avoid.,Action,Dana Bryant,2011,296.71,341.51,158.0,2.19,Spanish,Paramount,May,7.8,7.8,Hit,35
Foot present score.,Horror,Paul Watson,1998,49.514,489.227,179.0,4.3,German,Disney,Jun,0.6,1.3,Hit,69
Upon affect ball.,Horror,Melissa Smith,1997,100.696,25.707,150.0,1.94,Spanish,Universal Pictures,Dec,4.9,5.5,Flop,5
Campaign first enough school.,Action,Christine Gonzalez,2000,40.842,3105.18,131.0,3.43,Japanese,Fox,Jun,5.3,4.1,Hit,42
Part good attention.,Sci-Fi,William Price,2002,223.21,163.244,105.0,9.6,English,Warner Bros,Dec,0.9,9.2,Flop,15
Stage various mind very doctor.,Action,Kevin Sims,1993,85.88,357.837,177.0,8.38,Japanese,Sony Pictures,Mar,5.2,1.6,Hit,83
Series oil decide education.,Sci-Fi,Dustin Mosley,2010,141.443,1196.96,120.0,8.68,German,Lionsgate,Dec,7.2,5.4,Flop,20
Sure industry meeting.,Comedy,Melissa Smith,2007,229.36,3094.98,145.0,7.5,Mandarin,Disney,Jun,1.5,3.4,Hit,74
Star her because.,Action,Elizabeth Mann,2008,227.586,256.731,,6.92,Mandarin,Sony Pictures,Dec,0.1,3.5,Hit,50
Summer decide voice.,Thriller,Heidi Ritter,1991,195.614,283.028,107.0,1.35,Mandarin,Universal Pictures,Mar,1.8,7.2,Hit,4
Player though item.,Horror,Danielle Potter,2005,132.224,4390.32,85.0,1.35,French,New Line Cinema,Jun,5.3,4.9,Hit,5
Product detail camera choice music.,Horror,Tasha Reyes,2015,298.352,55.034,,1.2,German,Sony Pictures,Apr,1.8,7.5,Flop,83
Exactly speech when recently side.,Action,Nicholas Bates,2007,65.829,69.906,147.0,1.57,Spanish,Fox,Feb,1.1,,Hit,95
Full kid young boy.,Thriller,Mrs. Katie Boone DDS,2008,,184.798,158.0,5.87,Mandarin,Lionsgate,Jun,8.0,4.6,Flop,72
Lead poor bring.,Horror,Yvonne Reynolds,2011,54.392,117.715,135.0,7.83,German,Lionsgate,Jun,8.3,9.2,Hit,40
About full detail skin.,Sci-Fi,Melissa Smith,2023,113.679,391.843,141.0,2.17,English,Lionsgate,Mar,2.9,7.1,Hit,72
Thus want finish money doctor.,Horror,Tammy Gonzalez,1990,74.232,87.97,155.0,2.61,Spanish,Fox,Jul,0.5,3.5,Hit,38
Box Congress one.,Thriller,Mrs. Katie Boone DDS,1997,265.178,419.107,89.0,5.46,English,New Line Cinema,Dec,1.9,8.1,Hit,99
First little interest seven produce.,Sci-Fi,William Price,2021,125.213,2113.37,80.0,7.34,English,Warner Bros,Sep,1.9,4.6,Hit,70
Sea shoulder left.,Action,Donna Richards,2010,252.259,461.173,,2.78,Japanese,Fox,Oct,7.3,8.6,Hit,56
Car machine performance show.,Sci-Fi,Donna Richards,1996,166.12,215.6,87.0,3.7,Hindi,New Line Cinema,Jun,0.5,3.5,Hit,30
Hope affect glass likely each.,Horror,George Williams,1990,106.437,38.57,,7.22,Mandarin,Sony Pictures,Feb,8.5,6.5,Flop,60
Cut friend maintain employee cover.,Romance,Joseph Moore,2021,98.918,1036.1100000000001,140.0,7.76,Japanese,Fox,Jan,4.4,8.9,Hit,58
Ever owner from series less.,Drama,Jennifer Smith,2009,108.468,223.56,133.0,9.2,Japanese,Sony Pictures,May,8.3,3.5,Hit,72
Decision early serve contain team.,Sci-Fi,Emily Lewis DDS,2004,123.574,340.57000000000005,,6.7,English,Fox,Mar,9.9,2.5,Flop,77
Agreement experience see unit.,Sci-Fi,Kevin Sims,1998,264.866,491.512,157.0,7.93,Mandarin,Paramount,Mar,8.9,1.3,Hit,45
Particular throw too according.,Drama,Sean Sullivan,1990,165.28,497.724,171.0,7.34,Mandarin,Disney,Aug,8.2,5.0,Hit,40
Drop hold that.,Horror,John Barnett,2015,76.542,4937.16,114.0,6.96,Spanish,Warner Bros,Aug,5.7,,Hit,14
Argue analysis forward light.,Action,Danielle Potter,2008,226.305,277.043,157.0,4.87,German,New Line Cinema,Jun,5.9,0.1,Hit,59
Soldier note.,Thriller,Donna Richards,1990,67.067,405.263,156.0,4.51,English,Universal Pictures,Jul,9.5,7.1,Hit,13
Decide window quality.,Thriller,Alicia Lawrence,2004,73.407,186.504,105.0,6.6,English,Warner Bros,Jan,9.6,8.6,Hit,13
Single long candidate loss leave.,Thriller,Joanne Harris,2011,49.565,410.87,142.0,9.18,Spanish,Warner Bros,Aug,3.4,6.4,Hit,34
Read society wear key.,Sci-Fi,Stephanie Alvarez,2008,145.769,4937.43,102.0,2.57,Japanese,Sony Pictures,Dec,0.5,0.3,Hit,71
In beautiful crime.,Action,Stephanie Alvarez,2012,46.7,59.246,111.0,2.63,Mandarin,Sony Pictures,Feb,9.2,4.8,Hit,79
Itself huge ability.,Sci-Fi,William Price,1996,189.124,169.432,153.0,5.78,Hindi,Disney,Nov,5.1,4.0,Flop,98
Involve kind kind.,Sci-Fi,Carol Diaz,1992,73.531,444.118,174.0,6.59,French,Disney,Sep,7.0,0.3,Hit,33
Popular including mission wrong.,Sci-Fi,Michelle Wagner,1990,68.777,63.098,98.0,4.22,Spanish,Lionsgate,Mar,2.3,0.4,Flop,33
Drive like should plan everything.,Comedy,Joseph Swanson,1996,266.231,3503.7,123.0,7.08,Spanish,Warner Bros,Mar,3.9,7.6,Hit,38
Glass go movement.,Drama,Kayla Mcconnell,2006,128.636,2512.26,153.0,1.78,Hindi,Paramount,Oct,1.6,7.7,Hit,71
Statement nearly you born.,Sci-Fi,Michael Miller,1996,73.07,2413.7,106.0,9.43,Japanese,Lionsgate,Apr,5.8,5.0,Hit,93
Join development how truth.,Comedy,Randall Wilson,1998,254.68,1778.3799999999999,116.0,6.43,Mandarin,New Line Cinema,Jul,1.0,6.7,Flop,30
Recent no rest plan.,Romance,William Price,2006,17.355,14.185,84.0,5.44,Mandarin,Fox,Jun,4.3,4.1,Flop,5
Center health new.,Drama,Hayden Tyler,1996,279.249,287.669,163.0,8.5,Japanese,Lionsgate,Dec,9.1,8.8,Hit,56
Window reduce lot concern.,Comedy,Ashley Williams,2016,253.313,41.542,126.0,9.29,Hindi,Disney,Sep,1.1,5.5,Flop,78
Hotel political most responsibility.,Action,Caleb Barnes,1993,259.309,401.354,166.0,3.08,French,New Line Cinema,May,1.1,6.0,Hit,75
Town artist activity trip ok.,Thriller,Emily Lewis DDS,2020,98.059,58.202,141.0,6.81,German,Lionsgate,Sep,8.3,2.4,Flop,44
Treat apply game three.,Romance,George Williams,2018,255.223,294.785,176.0,6.86,English,Fox,Aug,0.2,7.0,Hit,76
Fast cut fall when.,Horror,Dustin Mosley,2009,193.502,33.759,,3.87,Spanish,Warner Bros,Apr,5.0,9.9,Flop,63
Add own behind degree without.,Romance,Joseph Swanson,2021,32.018,127.013,97.0,2.35,Hindi,Paramount,May,4.6,4.4,Hit,18
Each life.,Romance,Carol Diaz,2012,66.678,2.842,,9.25,Hindi,Warner Bros,Nov,8.7,8.7,Flop,37
Animal prevent science trade common.,Thriller,Randy Lewis,2009,116.64,97.097,160.0,8.38,English,Lionsgate,Nov,1.7,,Flop,69
Level box authority.,Romance,Andrew Krause,2021,117.98,201.822,146.0,4.3,French,New Line Cinema,Feb,9.2,4.2,Hit,23
Religious southern knowledge eight.,Thriller,Michelle Wagner,2022,210.569,3591.6899999999996,121.0,9.96,Spanish,Lionsgate,Jul,8.4,4.8,Hit,10
No involve goal want.,Horror,Kathleen Adkins,2008,83.36,2948.67,,4.37,Mandarin,Lionsgate,Dec,5.6,0.3,Hit,62
Crime concern.,Action,Michael Miller,2004,277.953,467.183,94.0,9.05,Spanish,Sony Pictures,Jan,2.3,2.3,Hit,1
Movie paper truth whether.,Comedy,Danielle Potter,2014,237.047,78.11,80.0,3.01,Japanese,Universal Pictures,Jan,8.1,9.3,Flop,0
Wonder phone amount.,Comedy,Dr. Brianna Wilson DDS,2007,86.348,27.48,113.0,2.96,French,Universal Pictures,Sep,1.4,2.7,Flop,4
Movie same stand.,Sci-Fi,Maria Gilbert,2001,120.095,15.574,128.0,5.61,Mandarin,Paramount,Aug,8.4,10.0,Flop,94
Form next each sea.,Horror,Paul Watson,2013,70.607,131.105,136.0,8.58,English,New Line Cinema,Nov,3.9,9.7,Hit,19
Not boy few.,Thriller,Christine Gonzalez,2021,265.757,60.156,139.0,4.96,Mandarin,Lionsgate,Oct,1.4,9.5,Flop,38
Piece half agreement short.,Horror,Maria Gilbert,2024,131.84,253.444,107.0,8.29,French,New Line Cinema,Jun,6.4,1.9,Hit,81
Fill pressure need.,Romance,Kathleen Adkins,2011,232.008,495.348,131.0,3.91,Japanese,Warner Bros,Feb,5.2,5.1,Hit,35
Ground different like partner.,Action,Randall Howe,1998,67.851,284.415,145.0,2.84,German,Disney,Sep,0.3,7.6,Hit,34
Try then major.,Horror,Paul Watson,1995,34.142,456.267,144.0,8.84,German,Lionsgate,May,7.5,9.5,Hit,72
Ground part nation likely.,Thriller,Nicholas Bates,1996,108.733,195.531,150.0,2.54,French,New Line Cinema,Oct,5.7,4.6,Hit,38
Spring spring.,Drama,Michael Miller,1992,162.002,62.934,81.0,8.61,Hindi,Lionsgate,May,5.7,3.0,Flop,70
Best mother.,Action,Andrew Krause,2018,23.245,180.753,99.0,7.44,French,Universal Pictures,Sep,0.8,9.5,Hit,9
